"S","PropError","TransRateError","propRareSample","DOS","TotalTransitions","minSampleSize","SampleSize","AverageDurationError","TruePropRare","AverageDuration","Ant","TaskNumber"
64,0.307985240080426,0.091848021759516,0,0.44780816954986,345,552.05,525,31714.9954761377,0.555475047550041,38.2951084989572,1,8
64,0.168008932792392,0.000114926955869977,0.291666666666667,0.496694140023549,436,69.00625,525,22202.5706187195,0.567611629381397,40.56269367177,2,7
64,0.00844714966801347,0.000182551298876798,0,0.579227425052079,423,56.9123711340206,525,22632.1763182188,0.548863327597138,36.4858087501349,3,7
64,0.0210229392291688,8.58336335435872e-05,0.251736111111111,0.446200525314736,554,160.014492753623,525,7396.54677934068,0.453944389095191,25.888764490278,4,8
64,0.00813494200886946,2.8655830912064e-05,0,0.654707454034961,112,2208.2,525,198726.579266822,0.799927542795037,88.9685570909255,5,8
64,0.00360962218135573,3.65387712948738e-05,0.333333333333333,0.823419527216738,201,334.575757575758,525,14837.9291710022,0.651209129607825,31.3558501631184,6,6
64,0.00323412453438961,0.000146155707216103,0,0.665123177248438,417,1380.125,525,4481.88308211187,0.390816049270899,24.0353798961542,7,6
64,0.00551392980298787,4.56977219269108e-05,0.288194444444444,0.556278869667603,266,408.925925925926,525,35749.0963689879,0.637623403677203,46.833896440778,8,8
64,0.0975959588155552,0.000648418885931454,0,0.500158500135857,497,581.105263157895,525,22070.7915624186,0.488633275971379,32.4706419782873,9,9
128,0.0168253691786181,0.000135474683228816,0,0.44780816954986,345,552.05,525,24736.5639795173,0.555475047550041,38.2951084989572,1,8
128,0.156376928199736,9.18908970448455e-05,0.3875,0.496694140023549,436,69.00625,525,23881.9410773239,0.567611629381397,40.56269367177,2,7
128,0.0035650475219287,8.18924906739914e-05,0,0.579227425052079,423,56.9123711340206,525,23937.0728161201,0.548863327597138,36.4858087501349,3,7
128,0.228739510549155,0.107009135889345,0,0.446200525314736,554,160.014492753623,525,8734.4525677832,0.453944389095191,25.888764490278,4,8
128,0.0760891830992513,7.49101566909179e-06,0,0.654707454034961,112,2208.2,525,203736.474301399,0.799927542795037,88.9685570909255,5,8
128,0.0127065581490698,3.80766046006701e-05,0.48125,0.823419527216738,201,334.575757575758,525,15948.9518994871,0.651209129607825,31.3558501631184,6,6
128,0.00511683673905043,2.90291953839622e-05,0,0.665123177248438,417,1380.125,525,5275.42812015703,0.390816049270899,24.0353798961542,7,6
128,0.528526154677323,5.22515660018714e-05,0.71875,0.556278869667603,266,408.925925925926,525,50513.5072289862,0.637623403677203,46.833896440778,8,8
128,0.0263904112709982,0.000135064837646051,0,0.500158500135857,497,581.105263157895,525,22550.7004040545,0.488633275971379,32.4706419782873,9,9
1,0.128863942759095,0.000490356823395364,0,0.44780816954986,345,552.05,526,6170.35687709301,0.555475047550041,38.2951084989572,1,8
1,0.0688059942455592,0.000136535891547195,0.846299810246679,0.496694140023549,436,69.00625,526,10043.3365782019,0.567611629381397,40.56269367177,2,7
1,0.197011390406302,0.000152138428373495,0,0.579227425052079,423,56.9123711340206,526,7323.66839038679,0.548863327597138,36.4858087501349,3,7
1,0.122298932659042,4.9931050064259e-05,0,0.446200525314736,554,160.014492753623,526,3188.08883911673,0.453944389095191,25.888764490278,4,8
1,0.308858269833542,2.04587751538036e-05,0.998102466793169,0.654707454034961,112,2208.2,526,44797.4413656434,0.799927542795037,88.9685570909255,5,8
1,0.0301706517388294,7.34574582958768e-05,0.882352941176471,0.823419527216738,201,334.575757575758,526,2781.22874164344,0.651209129607825,31.3558501631184,6,6
1,0.204180643864192,1.55487921180112e-05,0.561669829222011,0.665123177248438,417,1380.125,526,7258.75097330386,0.390816049270899,24.0353798961542,7,6
1,0.0972897403103238,6.81940277797945e-05,0,0.556278869667603,266,408.925925925926,526,17140.3786454657,0.637623403677203,46.833896440778,8,8
1,0.436655616945121,0.000386406421966275,0.870967741935484,0.500158500135857,497,581.105263157895,526,43805.4475413025,0.488633275971379,32.4706419782873,9,9
2,0.133287874189966,1.36085353364813e-05,0,0.44780816954986,345,552.05,526,9523.74701650645,0.555475047550041,38.2951084989572,1,8
2,0.254026694460527,0.000174420783670133,0.573863636363636,0.496694140023549,436,69.00625,526,9227.48740087008,0.567611629381397,40.56269367177,2,7
2,0.112259494666007,1.02247585499788e-05,0.248106060606061,0.579227425052079,423,56.9123711340206,526,12202.05489992,0.548863327597138,36.4858087501349,3,7
2,0.278979241060042,0.000161069996752224,0.285984848484849,0.446200525314736,554,160.014492753623,526,7105.22525868405,0.453944389095191,25.888764490278,4,8
